[2025-01-09 21:03:13,647 - 139801749485248]  ScholarDataFetcher - INFO: Entity outdated or not found for ID: Guido Rocchietti
[2025-01-09 21:03:13,648 - 139801749485248]  ScholarDataFetcher - INFO: Fetching simple entity for content: 1000
[2025-01-09 21:03:13,648 - 139801749485248]  ScholarScraper - INFO: Starting search for author: Guido Rocchietti
[2025-01-09 21:03:13,648 - 139801749485248]  ScholarScraper - INFO: Opening search URL: https://scholar.google.com/scholar?hl=it&as_sdt=0%252C5&q=Guido+Rocchietti
[2025-01-09 21:03:13,648 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Attempting to obtain a tab for URL search: Guido Rocchietti.
[2025-01-09 21:03:13,648 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Tab[0] assigned for URL search: Guido Rocchietti.
[2025-01-09 21:03:13,649 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Loading URL: https://scholar.google.com/scholar?hl=it&as_sdt=0%252C5&q=Guido+Rocchietti in tab[0].
[2025-01-09 21:03:13,774 - 139801749485248]  SeleniumDriver-ScholarScraper - WARNING: Unexpected alert detected; dismissing.
[2025-01-09 21:03:13,776 - 139801749485248]  SeleniumDriver-ScholarScraper - WARNING: No alert found during dismissal attempt.
[2025-01-09 21:03:13,776 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Obtaining HTML from tab[0].
[2025-01-09 21:03:13,776 - 139801749485248]  SeleniumDriver-ScholarScraper - DEBUG: Using default wait time.
[2025-01-09 21:03:13,776 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Waiting 84.93 seconds for 0 (delta: 36.89)...
[2025-01-09 21:04:38,793 - 139801749485248]  CaptchaHandler - INFO: No captcha detected.
[2025-01-09 21:04:38,794 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: HTML obtained from tab[0].
[2025-01-09 21:04:38,855 - 139801749485248]  ScholarScraper - INFO: Found profile URL: TAB[0] - https://scholar.google.com/citations?user=gpwgJZkAAAAJ&hl=it&oi=ao
[2025-01-09 21:04:38,855 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Releasing tab[0] for URL search: Guido Rocchietti.
[2025-01-09 21:04:38,855 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Tab[0] released successfully.
[2025-01-09 21:04:38,855 - 139801749485248]  ScholarScraper - INFO: Starting profile data extraction for: gpwgJZkAAAAJ
[2025-01-09 21:04:38,855 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Attempting to obtain a tab for URL search: gpwgJZkAAAAJ.
[2025-01-09 21:04:38,855 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Tab[0] assigned for URL search: gpwgJZkAAAAJ.
[2025-01-09 21:04:38,855 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: Loading URL: https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ in tab[0].
[2025-01-09 21:04:41,837 - 139801749485248]  SeleniumDriver-ScholarScraper - INFO: URL https://scholar.google.com/citations?hl=it&user=gpwgJZkAAAAJ loaded successfully in tab[0].
